Year,Category,Full Name,Birth Date,Birth Country,Death Country
1922,Physics,Niels Henrik David Bohr,1885-10-07,Denmark,Denmark
1923,Chemistry,Fritz Pregl,1869-09-03,Austria-Hungary (Slovenia),Austria
1923,Literature,William Butler Yeats,1865-06-13,Ireland,France
1923,Medicine,Frederick Grant Banting,1891-11-14,Canada,Canada
1923,Medicine,John James Rickard Macleod,1876-09-06,Scotland,Scotland
1923,Physics,Robert Andrews Millikan,1868-03-22,United States of America,United States of America
1924,Literature,Wladyslaw Stanislaw Reymont,1867-05-07,Russian Empire (Poland),Poland
1924,Medicine,Willem Einthoven,1860-05-21,"Java, Dutch East Indies (Indonesia)",Netherlands
1924,Physics,Karl Manne Georg Siegbahn,1886-12-03,Sweden,Sweden
1925,Chemistry,Richard Adolf Zsigmondy,1865-04-01,Austrian Empire (Austria),Germany
1925,Literature,George Bernard Shaw,1856-07-26,Ireland,United Kingdom
1925,Peace,Sir Austen Chamberlain,1863-10-16,United Kingdom,United Kingdom
1925,Peace,Charles Gates Dawes,1865-08-27,United States of America,United States of America
1925,Physics,James Franck,1882-08-26,Germany,West Germany (Germany)
1925,Physics,Gustav Ludwig Hertz,1887-07-22,Germany,East Germany
1926,Chemistry,The (Theodor) Svedberg,1884-08-30,Sweden,Sweden
1926,Literature,Grazia Deledda,1871-09-27,Italy,Italy
1926,Medicine,Johannes Andreas Grib Fibiger,1867-04-23,Denmark,Denmark
1926,Peace,Aristide Briand,1862-03-28,France,France
1926,Peace,Gustav Stresemann,1878-05-10,Germany,Germany
1926,Physics,Jean Baptiste Perrin,1870-09-30,France,United States of America
1927,Chemistry,Heinrich Otto Wieland,1877-06-04,Germany,West Germany (Germany)
1927,Literature,Henri Bergson,1859-10-18,France,France
1927,Medicine,Julius Wagner-Jauregg,1857-03-07,Austria,Austria
1927,Peace,Ferdinand Buisson,1841-12-20,France,France
1927,Peace,Ludwig Quidde,1858-03-23,Germany,Switzerland
1927,Physics,Arthur Holly Compton,1892-09-10,United States of America,United States of America
1927,Physics,Charles Thomson Rees Wilson,1869-02-14,Scotland,Scotland
1928,Chemistry,Adolf Otto Reinhold Windaus,1876-12-25,Germany,West Germany (Germany)
1928,Literature,Sigrid Undset,1882-05-20,Denmark,Norway
1928,Medicine,Charles Jules Henri Nicolle,1866-09-21,France,Tunisia
1928,Physics,Owen Willans Richardson,1879-04-26,United Kingdom,United Kingdom
1929,Chemistry,Arthur Harden,1865-10-12,United Kingdom,United Kingdom
1929,Chemistry,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Germany,Sweden
1929,Literature,Thomas Mann,1875-06-06,Germany,Switzerland
1929,Medicine,Christiaan Eijkman,1858-08-11,Netherlands,Netherlands
1929,Medicine,Sir Frederick Gowland Hopkins,1861-06-20,United Kingdom,United Kingdom
1929,Peace,Frank Billings Kellogg,1856-12-22,United States of America,United States of America
1929,Physics,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,France,France
1930,Chemistry,Hans Fischer,1881-07-27,Germany,Germany
1930,Literature,Sinclair Lewis,1885-02-07,United States of America,Italy
1930,Medicine,Karl Landsteiner,1868-06-14,Austrian Empire (Austria),United States of America
1930,Peace,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,Sweden,Sweden
1930,Physics,Sir Chandrasekhara Venkata Raman,1888-11-07,India,India
1931,Chemistry,Carl Bosch,1874-08-27,Germany,Germany
1931,Chemistry,Carl Bosch,1874-08-27,Germany,Germany
1931,Chemistry,Friedrich Bergius,1884-10-11,Germany (Poland),Argentina
1931,Chemistry,Friedrich Bergius,1884-10-11,Germany (Poland),Argentina
1931,Literature,Erik Axel Karlfeldt,1864-07-20,Sweden,Sweden
1931,Medicine,Otto Heinrich Warburg,1883-10-08,Germany,West Germany (Germany)
1931,Peace,Jane Addams,1860-09-06,United States of America,United States of America
1931,Peace,Nicholas Murray Butler,1862-04-02,United States of America,United States of America
1932,Chemistry,Irving Langmuir,1881-01-31,United States of America,United States of America
1932,Literature,John Galsworthy,1867-08-14,United Kingdom,United Kingdom
1932,Medicine,Sir Charles Scott Sherrington,1857-11-27,United Kingdom,United Kingdom
1932,Medicine,Edgar Douglas Adrian,1889-11-30,United Kingdom,United Kingdom
1932,Physics,Werner Karl Heisenberg,1901-12-05,Germany,West Germany (Germany)
1933,Literature,Ivan Alekseyevich Bunin,1870-10-22,Russia,France
1933,Medicine,Thomas Hunt Morgan,1866-09-25,United States of America,United States of America
1933,Peace,Sir Norman Angell (Ralph Lane),1872-12-26,United Kingdom,United Kingdom
1933,Physics,Erwin Schrödinger,1887-08-12,Austria,Austria
1933,Physics,Paul Adrien Maurice Dirac,1902-08-08,United Kingdom,United States of America
1934,Chemistry,Harold Clayton Urey,1893-04-29,United States of America,United States of America
1934,Literature,Luigi Pirandello,1867-06-28,Italy,Italy
1934,Medicine,George Hoyt Whipple,1878-08-28,United States of America,United States of America
1934,Medicine,George Richards Minot,1885-12-02,United States of America,United States of America
1934,Medicine,William Parry Murphy,1892-02-06,United States of America,United States of America
1934,Medicine,William Parry Murphy,1892-02-06,United States of America,United States of America
1934,Peace,Arthur Henderson,1863-09-13,Scotland,United Kingdom
1935,Chemistry,Frédéric Joliot,1900-03-19,France,France
1935,Chemistry,Irène Joliot-Curie,1897-09-12,France,France
1935,Medicine,Hans Spemann,1869-06-27,W&uuml;rttemberg (Germany),Germany
1935,Peace,Carl von Ossietzky,1889-10-03,Germany,Germany
1935,Physics,James Chadwick,1891-10-20,United Kingdom,United Kingdom
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Netherlands,United States of America
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Netherlands,United States of America
1936,Literature,Eugene Gladstone O'Neill,1888-10-16,United States of America,United States of America
1936,Medicine,Sir Henry Hallett Dale,1875-06-09,United Kingdom,United Kingdom
1936,Medicine,Otto Loewi,1873-06-03,Germany,United States of America
1936,Peace,Carlos Saavedra Lamas,1878-11-01,Argentina,Argentina
1936,Physics,Victor Franz Hess,1883-06-24,Austria,United States of America
1936,Physics,Carl David Anderson,1905-09-03,United States of America,United States of America
1937,Chemistry,Walter Norman Haworth,1883-03-19,United Kingdom,United Kingdom
1937,Chemistry,Paul Karrer,1889-04-21,Russia,Switzerland
1937,Literature,Roger Martin du Gard,1881-03-23,France,France
1937,Medicine,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Austria-Hungary (Hungary),United States of America
1937,Peace,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,United Kingdom,United Kingdom
1937,Physics,Clinton Joseph Davisson,1881-10-22,United States of America,United States of America
1937,Physics,George Paget Thomson,1892-05-03,United Kingdom,United Kingdom
1938,Chemistry,Richard Kuhn,1900-12-03,Austria-Hungary (Austria),West Germany (Germany)
1938,Chemistry,Richard Kuhn,1900-12-03,Austria-Hungary (Austria),West Germany (Germany)
1938,Literature,Pearl Buck,1892-06-26,United States of America,United States of America
1938,Medicine,Corneille Jean François Heymans,1892-03-28,Belgium,Belgium
1938,Peace,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,,
1938,Physics,Enrico Fermi,1901-09-29,Italy,United States of America
1939,Chemistry,Adolf Friedrich Johann Butenandt,1903-03-24,Germany,Germany
1939,Chemistry,Adolf Friedrich Johann Butenandt,1903-03-24,Germany,Germany
1939,Chemistry,Leopold Ruzicka,1887-09-13,Austria-Hungary (Croatia),Switzerland
1939,Literature,Frans Eemil Sillanpää,1888-09-16,Russian Empire (Finland),Finland
1939,Medicine,Gerhard Domagk,1895-10-30,Germany (Poland),West Germany (Germany)
1939,Physics,Ernest Orlando Lawrence,1901-08-08,United States of America,United States of America
1943,Chemistry,George de Hevesy,1885-08-01,Austria-Hungary (Hungary),West Germany (Germany)
1943,Medicine,Henrik Carl Peter Dam,1895-02-21,Denmark,Denmark
1943,Medicine,Edward Adelbert Doisy,1893-11-13,United States of America,United States of America
1943,Physics,Otto Stern,1888-02-17,Germany (Poland),United States of America
1944,Chemistry,Otto Hahn,1879-03-08,Germany,West Germany (Germany)
1944,Literature,Johannes Vilhelm Jensen,1873-01-20,Denmark,Denmark
1944,Medicine,Joseph Erlanger,1874-01-05,United States of America,United States of America
1944,Medicine,Herbert Spencer Gasser,1888-07-05,United States of America,United States of America
1944,Peace,Comité international de la Croix Rouge (International Committee of the Red Cross),,,
1944,Physics,Isidor Isaac Rabi,1898-07-29,Austria-Hungary (Poland),United States of America
1945,Chemistry,Artturi Ilmari Virtanen,1895-01-15,Russian Empire (Finland),Finland
1945,Literature,Gabriela Mistral,1889-04-07,Chile,United States of America
1945,Medicine,Sir Alexander Fleming,1881-08-06,Scotland,United Kingdom
1945,Medicine,Ernst Boris Chain,1906-06-19,Germany,Ireland
1945,Medicine,Sir Howard Walter Florey,1898-09-24,Australia,United Kingdom
1945,Peace,Cordell Hull,1871-10-02,United States of America,United States of America
1945,Physics,Wolfgang Pauli,1900-04-25,Austria,Switzerland
1946,Chemistry,James Batcheller Sumner,1887-11-19,United States of America,United States of America
1946,Chemistry,John Howard Northrop,1891-07-05,United States of America,United States of America
1946,Chemistry,Wendell Meredith Stanley,1904-08-16,United States of America,Spain
1946,Literature,Hermann Hesse,1877-07-02,Germany,Switzerland
1946,Medicine,Hermann Joseph Muller,1890-12-21,United States of America,
1946,Peace,Emily Greene Balch,1867-01-08,United States of America,United States of America
1946,Peace,John Raleigh Mott,1865-05-25,United States of America,United States of America
1946,Physics,Percy Williams Bridgman,1882-04-21,United States of America,United States of America
1947,Chemistry,Sir Robert Robinson,1886-09-13,United Kingdom,United Kingdom
1947,Literature,André Paul Guillaume Gide,1869-11-22,France,France
1947,Medicine,Carl Ferdinand Cori,1896-12-05,Austria-Hungary (Czech Republic),United States of America
1947,Medicine,"Gerty Theresa Cori, née Radnitz",1896-08-15,Austria-Hungary (Czech Republic),United States of America
1947,Medicine,Bernardo Alberto Houssay,1887-04-10,Argentina,Argentina
1947,Peace,Friends Service Council (The Quakers),,,
1947,Peace,American Friends Service Committee (The Quakers),,,
1947,Physics,Sir Edward Victor Appleton,1892-09-06,United Kingdom,Scotland
1948,Chemistry,Arne Wilhelm Kaurin Tiselius,1902-08-10,Sweden,Sweden
1948,Literature,Thomas Stearns Eliot,1888-09-26,United States of America,United Kingdom
1948,Medicine,Paul Hermann Müller,1899-01-12,Switzerland,Switzerland
1948,Physics,Patrick Maynard Stuart Blackett,1897-11-18,United Kingdom,United Kingdom
1949,Chemistry,William Francis Giauque,1895-05-12,Canada,United States of America
1949,Literature,William Faulkner,1897-09-25,United States of America,United States of America
1949,Medicine,Walter Rudolf Hess,1881-03-17,Switzerland,Switzerland
1949,Medicine,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Portugal,Portugal
1949,Medicine,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Portugal,Portugal
1949,Peace,Lord (John) Boyd Orr of Brechin,1880-09-23,Scotland,Scotland
1949,Physics,Hideki Yukawa,1907-01-23,Japan,Japan
1949,Physics,Hideki Yukawa,1907-01-23,Japan,Japan
1950,Chemistry,Otto Paul Hermann Diels,1876-01-23,Germany,West Germany (Germany)
1950,Chemistry,Kurt Alder,1902-07-10,Prussia (Poland),West Germany (Germany)
1950,Literature,Earl (Bertrand Arthur William) Russell,1872-05-18,United Kingdom,United Kingdom
1950,Medicine,Edward Calvin Kendall,1886-03-08,United States of America,United States of America
1950,Medicine,Tadeus Reichstein,1897-07-20,Poland,Switzerland
1950,Medicine,Philip Showalter Hench,1896-02-28,United States of America,Jamaica
1950,Peace,Ralph Bunche,1904-08-07,United States of America,United States of America
1950,Physics,Cecil Frank Powell,1903-12-05,United Kingdom,Italy
1951,Chemistry,Edwin Mattison McMillan,1907-09-18,United States of America,United States of America
1951,Chemistry,Glenn Theodore Seaborg,1912-04-19,United States of America,United States of America
1951,Literature,Pär Fabian Lagerkvist,1891-05-23,Sweden,Sweden
1951,Medicine,Max Theiler,1899-01-30,South Africa,United States of America
1951,Peace,Léon Jouhaux,1879-07-01,France,France
1951,Physics,Sir John Douglas Cockcroft,1897-05-27,United Kingdom,United Kingdom
1951,Physics,Ernest Thomas Sinton Walton,1903-10-06,Ireland,Northern Ireland
1952,Chemistry,Archer John Porter Martin,1910-03-01,United Kingdom,United Kingdom
1952,Chemistry,Richard Laurence Millington Synge,1914-10-28,United Kingdom,United Kingdom
1952,Literature,François Mauriac,1885-10-11,France,France
1952,Medicine,Selman Abraham Waksman,1888-07-22,Russian Empire (Ukraine),United States of America
1952,Peace,Albert Schweitzer,1875-01-14,Germany (France),Gabon
1952,Physics,Felix Bloch,1905-10-23,Switzerland,Switzerland
1952,Physics,Edward Mills Purcell,1912-08-30,United States of America,United States of America
1953,Chemistry,Hermann Staudinger,1881-03-23,Germany,West Germany (Germany)
1953,Chemistry,Hermann Staudinger,1881-03-23,Germany,West Germany (Germany)
1953,Literature,Sir Winston Leonard Spencer Churchill,1874-11-30,United Kingdom,United Kingdom
1953,Medicine,Hans Adolf Krebs,1900-08-25,Germany,United Kingdom
1953,Medicine,Fritz Albert Lipmann,1899-06-12,Germany (Russia),United States of America
1953,Medicine,Fritz Albert Lipmann,1899-06-12,Germany (Russia),United States of America
1953,Peace,George Catlett Marshall,1880-12-31,United States of America,United States of America
1953,Physics,Frits Zernike,1888-07-16,Netherlands,Netherlands
1954,Chemistry,Linus Carl Pauling,1901-02-28,United States of America,United States of America
1954,Literature,Ernest Miller Hemingway,1899-07-21,United States of America,United States of America
1954,Medicine,John Franklin Enders,1897-02-10,United States of America,United States of America
1954,Medicine,John Franklin Enders,1897-02-10,United States of America,United States of America
1954,Medicine,Thomas Huckle Weller,1915-06-15,United States of America,United States of America
1954,Medicine,Frederick Chapman Robbins,1916-08-25,United States of America,United States of America
1954,Peace,Office of the United Nations High Commissioner for Refugees (UNHCR),,,
1954,Physics,Max Born,1882-12-11,Germany (Poland),West Germany (Germany)
1954,Physics,Walther Bothe,1891-01-08,Germany,West Germany (Germany)
1954,Physics,Walther Bothe,1891-01-08,Germany,West Germany (Germany)
1955,Chemistry,Vincent du Vigneaud,1901-05-18,United States of America,United States of America
1955,Literature,Halldór Kiljan Laxness,1902-04-23,Iceland,Iceland
1955,Medicine,Axel Hugo Theodor Theorell,1903-07-06,Sweden,Sweden
1955,Physics,Willis Eugene Lamb,1913-07-12,United States of America,United States of America
1955,Physics,Polykarp Kusch,1911-01-26,Germany,United States of America
1956,Chemistry,Sir Cyril Norman Hinshelwood,1897-05-19,United Kingdom,United Kingdom
1956,Chemistry,Nikolay Nikolaevich Semenov,1896-04-03,Russia,Union of Soviet Socialist Republics
1956,Literature,Juan Ramón Jiménez,1881-12-24,Spain,Puerto Rico
1956,Medicine,André Frédéric Cournand,1895-09-24,France,United States of America
1956,Medicine,Werner Forssmann,1904-08-29,Germany,West Germany (Germany)
1956,Medicine,Werner Forssmann,1904-08-29,Germany,West Germany (Germany)
1956,Medicine,Dickinson W. Richards,1895-10-30,United States of America,United States of America
1956,Physics,William Bradford Shockley,1910-02-13,United Kingdom,United States of America
1956,Physics,John Bardeen,1908-05-23,United States of America,United States of America
1956,Physics,Walter Houser Brattain,1902-02-10,China,United States of America
1957,Chemistry,Lord (Alexander R.) Todd,1907-10-02,Scotland,United Kingdom
1957,Literature,Albert Camus,1913-11-07,French Algeria (Algeria),France
1957,Medicine,Daniel Bovet,1907-03-23,Switzerland,Italy
1957,Peace,Lester Bowles Pearson,1897-04-23,Canada,Canada
1957,Physics,Chen Ning Yang,1922-09-22,China,
1957,Physics,Tsung-Dao (T.D.) Lee,1926-11-24,China,
1958,Chemistry,Frederick Sanger,1918-08-13,United Kingdom,United Kingdom
1958,Literature,Boris Leonidovich Pasternak,1890-02-10,Russia,Russia
1958,Medicine,George Wells Beadle,1903-10-22,United States of America,United States of America
1958,Medicine,Edward Lawrie Tatum,1909-12-14,United States of America,United States of America
1958,Medicine,Joshua Lederberg,1925-05-23,United States of America,United States of America
1958,Peace,Georges Pire,1910-02-10,Belgium,Belgium
1958,Physics,Pavel Alekseyevich Cherenkov,1904-07-28,Russia,Union of Soviet Socialist Republics
1958,Physics,Igor Yevgenyevich Tamm,1895-07-08,Russia,Union of Soviet Socialist Republics (Russia)
1958,Physics,Igor Yevgenyevich Tamm,1895-07-08,Russia,Union of Soviet Socialist Republics (Russia)
1958,Physics,Il´ja Mikhailovich Frank,1908-10-23,Russia,Union of Soviet Socialist Republics (Russia)
1958,Physics,Il´ja Mikhailovich Frank,1908-10-23,Russia,Union of Soviet Socialist Republics (Russia)
1959,Chemistry,Jaroslav Heyrovsky,1890-12-20,Austria-Hungary (Czech Republic),Czechoslovakia
1959,Literature,Salvatore Quasimodo,1901-08-20,Italy,Italy
1959,Medicine,Severo Ochoa,1905-09-24,Spain,Spain
1959,Medicine,Arthur Kornberg,1918-03-03,United States of America,United States of America
1959,Peace,Philip J. Noel-Baker,1889-11-01,United Kingdom,United Kingdom
1959,Physics,Emilio Gino Segrè,1905-02-01,Italy,United States of America
1959,Physics,Owen Chamberlain,1920-07-10,United States of America,United States of America
1960,Chemistry,Willard Frank Libby,1908-12-17,United States of America,United States of America
1960,Literature,Saint-John Perse,1887-05-31,Guadeloupe Island,France
1960,Medicine,Sir Frank Macfarlane Burnet,1899-09-03,Australia,Australia
1960,Medicine,Peter Brian Medawar,1915-02-28,Brazil,United Kingdom
1960,Peace,Albert John Lutuli,1898-00-00,Southern Rhodesia (Zimbabwe),South Africa
1960,Physics,Donald Arthur Glaser,1926-09-21,United States of America,United States of America
1961,Chemistry,Melvin Calvin,1911-04-08,United States of America,United States of America
1961,Literature,Ivo Andric,1892-10-10,Bosnia (Bosnia and Herzegovina),Yugoslavia (Serbia)
1961,Medicine,Georg von Békésy,1899-06-03,Hungary,United States of America
1961,Peace,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,Sweden,Northern Rhodesia (Zambia)
1961,Physics,Robert Hofstadter,1915-02-05,United States of America,United States of America
1961,Physics,Rudolf Ludwig Mössbauer,1929-01-31,Germany,
1961,Physics,Rudolf Ludwig Mössbauer,1929-01-31,Germany,
1962,Chemistry,Max Ferdinand Perutz,1914-05-19,Austria,United Kingdom
1962,Chemistry,John Cowdery Kendrew,1917-03-24,United Kingdom,United Kingdom
1962,Literature,John Steinbeck,1902-02-27,United States of America,United States of America
1962,Medicine,Francis Harry Compton Crick,1916-06-08,United Kingdom,United States of America
1962,Medicine,James Dewey Watson,1928-04-06,United States of America,
1962,Medicine,Maurice Hugh Frederick Wilkins,1916-12-15,New Zealand,United Kingdom
1962,Peace,Linus Carl Pauling,1901-02-28,United States of America,United States of America
1962,Physics,Lev Davidovich Landau,1908-01-22,Russian Empire (Azerbaijan),Union of Soviet Socialist Republics (Russia)
1963,Chemistry,Karl Ziegler,1898-11-26,Germany,West Germany (Germany)
1963,Chemistry,Giulio Natta,1903-02-26,Italy,Italy
1963,Literature,Giorgos Seferis,1900-03-13,Ottoman Empire (Turkey),Greece
1963,Medicine,Sir John Carew Eccles,1903-01-27,Australia,Switzerland
1963,Medicine,Alan Lloyd Hodgkin,1914-02-05,United Kingdom,United Kingdom
